at,domain,experiment,arm,metric,value,n,note
2026-09-22T10:43:19+00:00,sample_policy,retrieval,vector,recall@1,0.9091,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,vector,recall@3,0.9545,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,vector,recall@5,0.9545,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,vector,mrr,0.9318,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,hybrid,recall@1,0.8182,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,hybrid,recall@3,0.9091,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,hybrid,recall@5,0.9545,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,hybrid,mrr,0.8674,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,unfiltered,recall@1,0.5455,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,unfiltered,recall@3,0.8636,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,unfiltered,recall@5,0.9545,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:43:19+00:00,sample_policy,retrieval,unfiltered,mrr,0.7098,22,filter={'kind': {'$eq': 'article'}} hybrid=False
2026-09-22T10:44:09+00:00,sample_policy,calibration,distances,worst_real,0.6577,22,
2026-09-22T10:44:09+00:00,sample_policy,calibration,distances,best_nonsense,0.7802,22,
2026-09-22T10:44:09+00:00,sample_policy,calibration,distances,suggested_ceiling,0.72,22,
2026-09-22T10:44:09+00:00,sample_policy,calibration,distances,configured_ceiling,0.7,22,
2026-09-22T10:44:09+00:00,sample_policy,calibration,distances,gap,0.1225,22,
